------------------------------------------------------------
Server listening on UDP port 5004
UDP buffer size: 64.0 KByte (default)
------------------------------------------------------------
[  1] local 192.168.1.29 port 5004 connected with 192.168.1.60 port 23555
[ ID] Interval       Transfer     Bandwidth        Jitter   Lost/Total Datagrams
[  1] 248.00-249.00 sec  51.7 KBytes   423 Kbits/sec  20.820 ms 0/36 (0%)
[  1] 249.00-250.00 sec  43.1 KBytes   353 Kbits/sec  18.575 ms 0/30 (0%)
[  1] 250.00-251.00 sec  38.8 KBytes   318 Kbits/sec  27.134 ms 0/27 (0%)
[  1] 251.00-252.00 sec  35.9 KBytes   294 Kbits/sec  29.107 ms 0/25 (0%)
[  1] 252.00-253.00 sec  38.8 KBytes   318 Kbits/sec  27.925 ms 0/27 (0%)
[  1] 253.00-254.00 sec  40.2 KBytes   329 Kbits/sec  20.366 ms 0/28 (0%)
[  1] 254.00-255.00 sec  37.3 KBytes   306 Kbits/sec  23.925 ms 0/26 (0%)
[  1] 255.00-256.00 sec  37.3 KBytes   306 Kbits/sec  24.097 ms 0/26 (0%)
[  1] 256.00-257.00 sec  37.3 KBytes   306 Kbits/sec  29.959 ms 0/26 (0%)
[  1] 257.00-258.00 sec  50.2 KBytes   412 Kbits/sec  22.007 ms 0/35 (0%)
[  1] 258.00-259.00 sec  45.9 KBytes   376 Kbits/sec  22.757 ms 0/32 (0%)
